City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Itarema,BR,2020-08-27 16:43:29,-2.92,-39.92,84.74,55,85,19.26
70,Salalah,OM,2020-08-27 16:43:29,17.02,54.09,77.0,94,90,5.82
71,Mahebourg,MU,2020-08-27 16:43:29,-20.41,57.7,71.6,83,40,12.75
72,Saint-Pierre,RE,2020-08-27 16:43:29,-21.34,55.48,71.6,60,40,4.7
73,Aklavik,CA,2020-08-27 16:43:29,68.22,-135.01,39.2,86,90,8.05
74,Sitka,US,2020-08-27 16:40:37,57.05,-135.33,51.8,87,90,3.36
75,Mackay,AU,2020-08-27 16:43:30,-21.15,149.2,64.4,82,75,9.17
76,Kinston,US,2020-08-27 16:43:30,35.26,-77.58,91.99,59,1,8.05
77,Kidal,ML,2020-08-27 16:43:30,18.44,1.41,91.92,36,61,9.95
78,Narsaq,GL,2020-08-27 16:43:30,60.92,-46.05,50.0,66,75,4.7
79,Meulaboh,ID,2020-08-27 16:43:30,4.14,96.13,78.22,84,100,3.13
80,Samagaltay,RU,2020-08-27 16:43:30,50.6,95.0,47.44,55,100,5.1
81,Chenzhou,CN,2020-08-27 16:43:31,25.8,113.03,72.91,69,0,2.66
82,Thompson,CA,2020-08-27 16:43:31,55.74,-97.86,60.8,72,75,4.7
83,Kodiak,US,2020-08-27 16:39:23,57.79,-152.41,51.8,81,90,4.7
84,Vitim,RU,2020-08-27 16:43:31,59.45,112.56,49.23,63,1,4.18
85,Bredasdorp,ZA,2020-08-27 16:43:31,-34.53,20.04,60.8,67,0,9.17
86,Krasnaya Zarya,RU,2020-08-27 16:43:31,52.78,37.68,62.29,78,57,5.68
87,Torbay,CA,2020-08-27 16:43:05,47.67,-52.73,64.0,77,90,17.22
88,Pimentel,PE,2020-08-27 16:43:31,-6.84,-79.93,71.6,60,20,11.41
89,Husavik,IS,2020-08-27 16:43:32,66.04,-17.34,57.2,47,75,17.22
90,Ipixuna,BR,2020-08-27 16:43:32,-1.76,-48.8,89.6,62,40,6.93
91,Kaitangata,NZ,2020-08-27 16:43:32,-46.28,169.85,37.99,88,100,5.39
92,Sovetskaya Gavan,RU,2020-08-27 16:43:32,48.97,140.29,61.11,94,100,6.15
93,Saint-Georges,GD,2020-08-27 16:43:32,12.06,-61.75,84.2,89,75,12.75
94,Uni,RU,2020-08-27 16:43:32,57.75,51.49,59.04,88,33,3.98
95,Altay,CN,2020-08-27 16:43:32,47.87,88.12,56.5,45,93,2.68
96,Adrar,MR,2020-08-27 16:43:33,20.5,-10.07,104.16,16,30,11.63
97,Siocon,PH,2020-08-27 16:43:33,7.71,122.14,78.55,81,83,2.15
98,Codrington,AU,2020-08-27 16:43:33,-38.27,141.97,44.24,80,0,9.04
99,Westport,US,2020-08-27 16:43:33,41.14,-73.36,82.0,64,1,11.41
100,Kenai,US,2020-08-27 16:43:33,60.55,-151.26,50.0,87,90,6.93
101,Asau,RO,2020-08-27 16:43:33,46.43,26.4,80.6,36,6,11.41
102,Nome,US,2020-08-27 16:41:38,64.5,-165.41,48.2,81,20,10.29
103,Urussu,RU,2020-08-27 16:43:33,54.6,53.46,65.05,60,19,6.73
104,Sao Filipe,CV,2020-08-27 16:43:34,14.9,-24.5,78.73,80,71,4.47
105,Sola,VU,2020-08-27 16:43:34,-13.88,167.55,80.64,77,86,23.76
106,Kavieng,PG,2020-08-27 16:43:34,-2.57,150.8,82.0,75,14,8.63
107,Katsuura,JP,2020-08-27 16:43:34,35.13,140.3,82.0,90,3,3.0
108,Saskylakh,RU,2020-08-27 16:43:34,71.92,114.08,52.57,61,0,4.16
109,Cidreira,BR,2020-08-27 16:43:34,-30.18,-50.21,68.99,61,84,9.8
110,Port Alfred,ZA,2020-08-27 16:43:34,-33.59,26.89,62.85,81,0,11.9
111,El Transito,SV,2020-08-27 16:43:34,13.35,-88.35,84.2,89,97,2.24
112,Tenenkou,ML,2020-08-27 16:43:35,14.46,-4.92,92.73,42,68,2.64
113,Bom Jesus,BR,2020-08-27 16:43:35,-9.07,-44.36,100.65,17,1,4.76
114,Alofi,NU,2020-08-27 16:43:35,-19.06,-169.92,62.6,100,65,16.55
115,Januaria,BR,2020-08-27 16:43:35,-15.48,-44.37,92.14,17,17,5.21
116,Atuona,PF,2020-08-27 16:43:35,-9.8,-139.03,78.48,75,72,22.06
