City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
200,Margahovit,AM,80.6,scattered clouds,40.73,44.68,Sass (Սասս)
204,Amahai,ID,76.71,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
206,Xinan,CN,78.22,clear sky,26.72,119.86,昌雄大酒店
208,Kapit,MY,74.97,heavy intensity rain,2.02,112.93,Hotel Meligai Kapit
211,Tortoli,IT,78.8,broken clouds,39.93,9.66,Hotel La Bitta
212,Cayenne,GF,89.6,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
218,Goderich,CA,73.0,scattered clouds,43.75,-81.72,Harmony Inn
219,Burlington,US,79.0,few clouds,39.88,-74.64,Delanco Camp
222,Hambantota,LK,81.07,overcast clouds,6.12,81.12,Bungalow 63
226,Kirakira,SB,79.83,overcast clouds,-10.45,161.92,SanBiz Lodge
229,Poquoson,US,86.0,clear sky,37.12,-76.35,Whitehouse Cove
232,Vanimo,PG,78.55,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
234,Zhanaozen,KZ,74.62,scattered clouds,43.3,52.8,K.korabay 28A
235,Murud,IN,78.93,light rain,18.33,72.97,On Point Plaza
237,Santo Amaro Da Imperatriz,BR,80.01,few clouds,-27.69,-48.78,BBS Comércio de Produtos Agropecuários.
238,Kamaishi,JP,70.21,moderate rain,39.27,141.88,Hotel Route Inn Kamaishi
241,Sola,VU,79.83,overcast clouds,-13.88,167.55,Leumerus Bungalows
242,Sechura,PE,73.62,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
248,Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
249,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
251,Avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
254,Naze,JP,82.4,few clouds,28.37,129.48,奄美ポートタワーホテル
256,Madang,PG,75.54,broken clouds,-5.22,145.8,Comfort Inn Hotel
257,Zhanakorgan,KZ,81.52,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
258,Barcelos,PT,73.99,clear sky,41.54,-8.62,Hotel Do Terço
259,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
260,Chaohu,CN,82.0,mist,31.6,117.87,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
261,Kavaratti,IN,82.38,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
262,Pizarro,CO,82.9,broken clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
264,Dinhata,IN,84.4,overcast clouds,26.13,89.47,Hotel Riya
265,Bambanglipuro,ID,72.99,overcast clouds,-7.95,110.28,Puri Brata
266,Boda,CF,71.83,overcast clouds,4.32,17.47,
268,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
270,Teluknaga,ID,81.0,scattered clouds,-6.1,106.64,Bale Ocasa hotel
272,Najran,SA,89.6,few clouds,17.49,44.13,محمد هادي ال فطيح
273,San Quintin,MX,71.87,broken clouds,30.48,-115.95,Old Mill Hotel
274,Acajutla,SV,82.99,clear sky,13.59,-89.83,Stop.
275,Coahuayana,MX,75.2,mist,18.73,-103.68,Hotel Los Arcos
276,Dum Duma,IN,75.81,light rain,27.57,95.57,Komal bakery shope
277,Makakilo City,US,78.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
278,Mawlaik,MM,78.3,overcast clouds,23.63,94.42,AKZ Guest House
280,Mae Hong Son,TH,74.98,overcast clouds,19.3,97.97,Baiyoke Chalet Hotel
283,Lexington,US,80.01,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
286,Tezu,IN,78.03,light rain,27.92,96.17,Circuit House
287,Iracoubo,GF,85.68,light rain,5.48,-53.2,Le Gite D Iracoubo
288,North Bend,US,72.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
289,Meulaboh,ID,77.54,moderate rain,4.14,96.13,Kost Pria
291,Bela,IN,82.18,few clouds,25.93,81.98,Siddharth Hotel
294,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
299,Port Blair,IN,82.13,moderate rain,11.67,92.75,Fortune Resort Bay Island
300,San Patricio,MX,79.09,light rain,19.22,-104.7,Hotel Cabo Blanco
301,Bontang,ID,77.81,light rain,0.13,117.5,Okra Leaf Guest House Syariah
302,Kalmunai,LK,81.7,overcast clouds,7.42,81.82,VS Villa
303,Gat,IL,84.99,clear sky,31.61,34.76,OlusHome
305,Mayumba,GA,73.98,broken clouds,-3.43,10.66,LIKWALE LODGE
308,Lorengau,PG,81.25,light rain,-2.02,147.27,Lorengau Harbourside Hotel
311,Long,TH,77.0,overcast clouds,18.08,99.83,Nopphakoe Homestay
313,Zhuanghe,CN,73.0,clear sky,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
314,Sarh,TD,82.4,few clouds,9.14,18.39,Hôtel des Chasses
315,Sapa,PH,82.09,broken clouds,5.15,120.32,
319,Isabela,PH,78.82,broken clouds,6.71,121.97,Isawad Resort
320,Bayir,TR,78.8,clear sky,37.27,28.22,Buban Otel
323,Tevaitoa,PF,77.54,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
325,Kudahuvadhoo,MV,84.31,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
329,Vijapur,IN,78.8,mist,23.57,72.75,Saint Joseph's Primary School Hostel
330,Ugoofaaru,MV,83.43,clear sky,5.67,73.0,Ungoofaaru Inn
332,Broome,US,71.01,scattered clouds,42.25,-75.83,Chenango Valley State Park
337,Ixtapa,MX,84.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
340,Lata,PT,73.99,clear sky,40.16,-8.33,Casa Maquia
341,Paceco,IT,87.8,few clouds,37.98,12.56,Officina Gastronomica Resort
343,Cedar City,US,80.6,clear sky,37.68,-113.06,Hampton Inn Cedar City
347,Tura,IN,76.17,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
348,Cabo San Lucas,MX,88.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
350,Grand-Lahou,CI,75.6,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
355,Loandjili,CG,75.2,scattered clouds,-4.76,11.86,Résidence ARCHANGE
356,Moundou,TD,72.99,overcast clouds,8.57,16.08,Auberge Le Roi
358,Abha,SA,80.6,overcast clouds,18.22,42.51,Abha Hotel
360,Kavieng,PG,82.22,light rain,-2.57,150.8,Nusa Island Retreat
361,Nacala,MZ,73.33,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
365,Bayog,PH,75.06,overcast clouds,7.87,123.07,JMG Traveller's Inn
366,Agutaya,PH,83.57,light rain,11.15,120.94,
367,Honolulu,US,78.8,few clouds,21.31,-157.86,Aston at the Executive Centre Hotel
368,Bara,NG,77.95,broken clouds,10.37,10.73,
369,Boende,CD,74.07,light rain,-0.22,20.87,
372,Agropoli,IT,86.0,clear sky,40.35,15.0,B&B Baia di Trentova
373,Khandbari,NP,73.8,broken clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
374,Padang,ID,77.88,moderate rain,-0.95,100.35,Mercure Padang
377,Montepuez,MZ,72.19,clear sky,-13.13,39.0,RESIDÊNCIAL LANCHONETE
379,Santa Cruz Del Sur,CU,89.11,clear sky,20.71,-78.0,
381,Guaratuba,BR,73.4,few clouds,-25.88,-48.57,Hotel Santa Paula
382,Kamiichi,JP,78.01,broken clouds,36.7,137.37,旅館 だんごや
383,Auki,SB,77.92,scattered clouds,-8.77,160.7,Auki Motel
384,Doliana,GR,80.6,clear sky,39.9,20.58,19.40 Luxury Guesthouse
388,Taitung,TW,80.35,few clouds,22.76,121.14,Taitung Bali Suites Hotel
391,Maragogi,BR,78.87,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
393,Shimoda,JP,72.0,few clouds,34.67,138.95,Shimoda Tokyu Hotel
395,Ndele,CF,71.69,overcast clouds,8.41,20.65,
396,Narathiwat,TH,78.8,thunderstorm,6.33,101.75,MUSOR
399,Lagoa,PT,75.11,scattered clouds,39.05,-27.98,Casa Das Faias
405,Manggar,ID,80.53,scattered clouds,-2.88,108.27,Guest Hotel
413,Hirara,JP,83.79,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
414,Grand Gaube,MU,70.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
415,Khani,GE,71.6,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
419,Tripoli,LY,87.01,clear sky,32.88,13.19,Al Waddan Hotel
420,Mana,GF,86.81,light rain,5.66,-53.78,LE SAMANA
423,Cerqueira Cesar,BR,85.01,clear sky,-23.04,-49.17,Pousada São Jorge
424,Labuhan,ID,76.86,scattered clouds,-6.88,112.21,bador sepret
426,Yantzaza,EC,86.0,broken clouds,-3.83,-78.76,HOTEL ALEJANDRO YANTZAZA
427,Ryotsu,JP,77.0,overcast clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
428,Baracoa,CU,85.78,scattered clouds,20.35,-74.5,Hostal Rio Miel
431,Teguise,ES,77.0,few clouds,29.06,-13.56,B&B La Casona de Nazaret
432,Peniche,PT,71.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
435,Tual,ID,78.84,overcast clouds,-5.67,132.75,Grand Vilia Hotel
436,Sur,OM,85.64,broken clouds,22.57,59.53,Sur Plaza Hotel
438,Wanning,CN,79.0,broken clouds,18.8,110.4,Paradise Hotel
441,Mumford,GH,75.33,overcast clouds,5.26,-0.76,Spanish Villa
448,Sorong,ID,77.34,scattered clouds,-0.88,131.25,The Waigo Hotel
449,Bengkulu,ID,76.78,light rain,-3.8,102.27,Grage Hotel Bengkulu
453,Ilirska Bistrica,SI,73.99,broken clouds,45.57,14.24,Rooms Antonija
454,Fuzhou,CN,82.4,clear sky,26.06,119.31,Shangri La Hotel Fuzhou
455,Kisangani,CD,73.6,few clouds,0.52,25.2,Grand Ramela Hotel
456,Chipata,ZM,73.78,clear sky,-13.63,32.65,Protea Hotel by Marriott Chipata
457,Puerto Colombia,CO,86.0,broken clouds,10.99,-74.95,Hotel El Emigrante
459,Aquin,HT,84.85,light rain,18.28,-73.4,Asheev Beach
461,Akyab,MM,81.84,overcast clouds,20.15,92.9,Hotel Memory
462,Zhuhai,CN,84.99,few clouds,22.28,113.57,珠海粤财假日酒店
463,Woodstock,CA,70.0,scattered clouds,43.13,-80.75,Holiday Inn Express & Suites Woodstock South
464,Gorontalo,ID,74.79,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
469,Korla,CN,75.99,clear sky,41.76,86.15,Gulisitan Hotel
471,Vila Velha,BR,80.6,few clouds,-20.33,-40.29,Hotel Vitória Palace
474,Chicama,PE,71.02,broken clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
476,Mahebourg,MU,71.6,light intensity shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
477,Daru,PG,77.38,light rain,-9.08,143.21,New century hotel
478,Bafq,IR,71.56,clear sky,31.61,55.41,Alamdar Hotel
479,Lazaro Cardenas,MX,82.54,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
482,Coos Bay,US,72.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
483,Kawalu,ID,71.49,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
484,Makasar,ID,73.4,few clouds,-5.14,119.42,Aryaduta Makassar
486,Nicoya,CR,89.6,scattered clouds,10.15,-85.45,Guayacan Real
487,Qingdao,CN,79.0,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
491,Emba,KZ,77.94,clear sky,48.83,58.14,
492,Kerema,PG,76.32,overcast clouds,-7.96,145.78,Elore Lodge
494,Ivanava,BY,74.8,clear sky,52.15,25.54,Bed&Breakfast Valeria
500,Mayo,US,82.0,scattered clouds,38.89,-76.51,Resorts Resource Group International
501,Praia,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
502,Watertown,US,78.01,scattered clouds,42.37,-71.18,Super 8 by Wyndham Watertown/Cambridge/Boston Area
503,Ouidah,BJ,77.09,overcast clouds,6.36,2.09,Djegba Hotel
506,Xiongzhou,CN,77.43,scattered clouds,25.12,114.3,Xinhewan Business Hotel
507,Bonthe,SL,77.7,light rain,7.53,-12.51,Bonthe Holiday Village
510,Korhogo,CI,76.6,light rain,9.45,-5.63,Hotel Le Recul
513,Sobradinho,BR,81.7,few clouds,-12.83,-39.1,Pousada Pau Brasil
516,La Orilla,MX,82.29,light rain,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
517,Farrukhnagar,IN,78.01,mist,17.08,78.2,Musthafa Five Star Kiranam
519,Kumluca,TR,88.03,clear sky,36.37,30.29,TurkuazKöy
522,Moses Lake,US,73.4,clear sky,47.13,-119.28,Ramada by Wyndham Moses Lake
523,Dhidhdhoo,MV,83.3,light rain,6.88,73.1,Dhidhoo beach
526,Jinxiang,CN,81.27,overcast clouds,22.86,115.7,Haiyun Holiday Hotel
527,Finschhafen,PG,79.41,broken clouds,-6.6,147.87,Cossam Guest House
532,Buala,SB,80.94,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
533,Avera,US,89.6,broken clouds,33.19,-82.53,
535,Pierre,US,88.0,clear sky,44.37,-100.35,Ramkota Hotel
536,Easton,US,77.0,few clouds,40.69,-75.22,Grand Eastonian Hotel & Suites
537,Santa Isabel Do Rio Negro,BR,85.89,moderate rain,-0.41,-65.02,Hotel GSA
539,Komsomolskiy,UZ,75.2,clear sky,40.43,71.72,Ikathouse
541,Ostuacan,MX,87.03,broken clouds,17.42,-93.3,HACIENDA JUAREZ
545,Basco,PH,83.64,broken clouds,20.45,121.97,Nathaniel's Lodge
